segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long
1732,207504271,Lagos-Badagry Expressway,primary,6.492748953353499,3.0781981896346737,6.494714866978186,3.0822708907846996
1742,207504274,,primary,6.424448052451637,2.8688973553437536,6.422370799999999,2.8664587000000004
1744,207504278,,primary,6.418350599999999,2.8622175,6.415016053587407,2.8591690210921397
1749,207504278,,primary,6.400706029463,2.848180531330584,6.3980052380664,2.844559715363343
1754,207504278,,primary,6.3942039664254136,2.827198505963366,6.394794651552612,2.8227164108762666
1759,207504278,,primary,6.395311519570437,2.804664895165772,6.394865255898799,2.8001666226221467
1762,207504278,,primary,6.393354934719285,2.791255462905671,6.392246106196737,2.7868726709749962
1763,207504278,,primary,6.392246106196737,2.7868726709749962,6.390919137904711,2.782551522750759
1764,207504278,,primary,6.390919137904711,2.782551522750759,6.389410233063366,2.7782892858034796
1768,207504278,,primary,6.385440823810343,2.765331592168435,6.384567022216842,2.7608962929396164
1771,207504278,,primary,6.383498672963831,2.7519240365434174,6.383280278653186,2.7474083023502858
1774,207504278,,primary,6.383473361563686,2.738372699435297,6.383742195084326,2.733859565383419
1776,207504278,,primary,6.383782802484002,2.7293393029239637,6.3834740051219505,2.7248311006112313
1777,207504278,,primary,6.3834740051219505,2.7248311006112313,6.382933466890629,2.7203427453647353
1778,207504278,,primary,6.382933466890629,2.7203427453647353,6.382088529705561,2.7159025596428656
1782,207523515,,primary,6.467042262956846,2.961349737014632,6.4713879419133225,2.9606622920661527
1784,207523515,,primary,6.475896225968814,2.960632401462373,6.480412352057739,2.9603925287177817
1785,207523515,,primary,6.480412352057739,2.9603925287177817,6.484821796903249,2.959471666465754
1791,207523515,,primary,6.506062030183772,2.9531838454449515,6.510462435696722,2.954196649530663
1793,207523521,,secondary,6.695575100000001,3.2985604,6.691723652294977,3.300897992744459
1797,207523521,,secondary,6.686951605501693,3.3122723591904215,6.684893584653004,3.3162651199825652
1800,215113163,Old Marina Street,primary,6.452832407162687,3.386757174495199,6.450376999297968,3.390545802453587
1802,215113163,Old Marina Street,primary,6.4482116111893415,3.3945090801760274,6.445910600000001,3.3977070000000005
1807,215113172,Old Marina Street,primary,6.445910600000001,3.3977070000000005,6.443407,3.4002473
1809,215118924,,trunk,6.4641712999999985,3.3958037999999995,6.465964999999998,3.3915466000000003
1816,215492880,Akin Adesola Street,primary,6.43208224422226,3.423870171857018,6.427559439746678,3.4238895372098344
1818,215492887,Osborne Road,primary,6.458357499999999,3.4111686000000003,6.4580566,3.4107049
1819,215492893,Akin Adesola Street,primary,6.436535600000001,3.4242327,6.437525599999999,3.4245911
