id,segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,gsv_metadata,copyright,date,location,pano_id,status,url_img0,url_img90,url_img180,url_img270
30,678,31165022,,secondary,23.8837511012,90.3042740971,23.8860059,90.310857,"{u'date': u'2013-05', u'status': u'OK', u'location': {u'lat': 23.8837372229, u'lng': 90.3042861131}, u'copyright': u'© 2017 Google', u'pano_id': u'UtWAmJoMjK8fa0ND22Jn_Q'}",© 2017 Google,2013-05,"{u'lat': 23.8837372229, u'lng': 90.3042861131}",UtWAmJoMjK8fa0ND22Jn_Q,OK,dhaka/img0_0030.jpg,dhaka/img90_0030.jpg,dhaka/img180_0030.jpg,dhaka/img270_0030.jpg
31,679,31166198,,secondary,23.7932107,90.2715132,23.7928235526,90.2666563717,"{u'date': u'2013-09', u'status': u'OK', u'location': {u'lat': 23.7931785574, u'lng': 90.2715308014}, u'copyright': u'© 2017 Google', u'pano_id': u't8mmtM_iZmr8XGoSXfkhyg'}",© 2017 Google,2013-09,"{u'lat': 23.7931785574, u'lng': 90.2715308014}",t8mmtM_iZmr8XGoSXfkhyg,OK,dhaka/img0_0031.jpg,dhaka/img90_0031.jpg,dhaka/img180_0031.jpg,dhaka/img270_0031.jpg
32,680,31166198,,secondary,23.7928235526,90.2666563717,23.7926801611,90.2617555161,"{u'date': u'2013-05', u'status': u'OK', u'location': {u'lat': 23.7928150381, u'lng': 90.2666174996}, u'copyright': u'© 2017 Google', u'pano_id': u'jgvBxQ45L0Bf4ZXL_0qFeQ'}",© 2017 Google,2013-05,"{u'lat': 23.7928150381, u'lng': 90.2666174996}",jgvBxQ45L0Bf4ZXL_0qFeQ,OK,dhaka/img0_0032.jpg,dhaka/img90_0032.jpg,dhaka/img180_0032.jpg,dhaka/img270_0032.jpg
34,704,31170387,,tertiary,23.8635798839,90.2394395068,23.8679072241,90.2382434742,"{u'date': u'2013-05', u'status': u'OK', u'location': {u'lat': 23.8635845678, u'lng': 90.2393929357}, u'copyright': u'© 2017 Google', u'pano_id': u'22FvfFLx8BTTDu2RwI1cSw'}",© 2017 Google,2013-05,"{u'lat': 23.8635845678, u'lng': 90.2393929357}",22FvfFLx8BTTDu2RwI1cSw,OK,dhaka/img0_0034.jpg,dhaka/img90_0034.jpg,dhaka/img180_0034.jpg,dhaka/img270_0034.jpg
36,749,33071363,,secondary,23.7752446,90.3900763,23.7796591338,90.3893160342,"{u'date': u'2013-03', u'status': u'OK', u'location': {u'lat': 23.7752311, u'lng': 90.3900294}, u'copyright': u'© 2017 Google', u'pano_id': u'xSd6Bu8sksYEUabZjERtKA'}",© 2017 Google,2013-03,"{u'lat': 23.7752311, u'lng': 90.3900294}",xSd6Bu8sksYEUabZjERtKA,OK,dhaka/img0_0036.jpg,dhaka/img90_0036.jpg,dhaka/img180_0036.jpg,dhaka/img270_0036.jpg
37,777,33127908,N 501,secondary,23.8325109009,90.3403973767,23.8370131332,90.3401672431,"{u'date': u'2013-05', u'status': u'OK', u'location': {u'lat': 23.8324976656, u'lng': 90.340358371}, u'copyright': u'© 2017 Google', u'pano_id': u'nnojfO6oLLQxwPhSeakgNA'}",© 2017 Google,2013-05,"{u'lat': 23.8324976656, u'lng': 90.340358371}",nnojfO6oLLQxwPhSeakgNA,OK,dhaka/img0_0037.jpg,dhaka/img90_0037.jpg,dhaka/img180_0037.jpg,dhaka/img270_0037.jpg
38,796,33762794,Kalsi Road,tertiary,23.8210006366,90.3697651566,23.8217567547,90.3746003838,"{u'date': u'2013-06', u'status': u'OK', u'location': {u'lat': 23.821061677, u'lng': 90.369776243}, u'copyright': u'© 2017 Google', u'pano_id': u'CE1RTozIX3klcXEKoGadaA'}",© 2017 Google,2013-06,"{u'lat': 23.821061677, u'lng': 90.369776243}",CE1RTozIX3klcXEKoGadaA,OK,dhaka/img0_0038.jpg,dhaka/img90_0038.jpg,dhaka/img180_0038.jpg,dhaka/img270_0038.jpg
39,809,33782231,,tertiary,23.8032797,90.3966872,23.8070338099,90.3949968591,"{u'date': u'2013-03', u'status': u'OK', u'location': {u'lat': 23.8033109703, u'lng': 90.3964756491}, u'copyright': u'© 2017 Google', u'pano_id': u'bP8HYE3PT5TCifimdJVnkg'}",© 2017 Google,2013-03,"{u'lat': 23.8033109703, u'lng': 90.3964756491}",bP8HYE3PT5TCifimdJVnkg,OK,dhaka/img0_0039.jpg,dhaka/img90_0039.jpg,dhaka/img180_0039.jpg,dhaka/img270_0039.jpg
40,811,33782231,,tertiary,23.8102581871,90.3969188559,23.8143217019,90.3948496507,"{u'date': u'2013-03', u'status': u'OK', u'location': {u'lat': 23.8101652812, u'lng': 90.3968676837}, u'copyright': u'© 2017 Google', u'pano_id': u'7JrPPDe5AKCILVQT-Wi0NA'}",© 2017 Google,2013-03,"{u'lat': 23.8101652812, u'lng': 90.3968676837}",7JrPPDe5AKCILVQT-Wi0NA,OK,dhaka/img0_0040.jpg,dhaka/img90_0040.jpg,dhaka/img180_0040.jpg,dhaka/img270_0040.jpg
41,812,33782231,,tertiary,23.8143217019,90.3948496507,23.8166431808,90.397778963,"{u'date': u'2013-03', u'status': u'OK', u'location': {u'lat': 23.8142961171, u'lng': 90.3948222006}, u'copyright': u'© 2017 Google', u'pano_id': u'j25ZpQazTNeh081wKXED3Q'}",© 2017 Google,2013-03,"{u'lat': 23.8142961171, u'lng': 90.3948222006}",j25ZpQazTNeh081wKXED3Q,OK,dhaka/img0_0041.jpg,dhaka/img90_0041.jpg,dhaka/img180_0041.jpg,dhaka/img270_0041.jpg
42,838,33818661,,secondary,23.7073298041,90.4298425287,23.7044124953,90.4332455181,"{u'date': u'2013-03', u'status': u'OK', u'location': {u'lat': 23.7073491077, u'lng': 90.429803061}, u'copyright': u'© 2017 Google', u'pano_id': u'l6yqninwShOOO5bgwj3gmQ'}",© 2017 Google,2013-03,"{u'lat': 23.7073491077, u'lng': 90.429803061}",l6yqninwShOOO5bgwj3gmQ,OK,dhaka/img0_0042.jpg,dhaka/img90_0042.jpg,dhaka/img180_0042.jpg,dhaka/img270_0042.jpg
43,839,33818661,,secondary,23.7044124953,90.4332455181,23.7030967,90.4351362,"{u'date': u'2013-03', u'status': u'OK', u'location': {u'lat': 23.7043713506, u'lng': 90.4332140527}, u'copyright': u'© 2017 Google', u'pano_id': u'bYIq1CKzfxX6KzyfxfHWFg'}",© 2017 Google,2013-03,"{u'lat': 23.7043713506, u'lng': 90.4332140527}",bYIq1CKzfxX6KzyfxfHWFg,OK,dhaka/img0_0043.jpg,dhaka/img90_0043.jpg,dhaka/img180_0043.jpg,dhaka/img270_0043.jpg
44,849,33832973,Mohammadpur Ring Road,secondary,23.7711229018,90.3596119066,23.774149445,90.3629344072,"{u'date': u'2013-06', u'status': u'OK', u'location': {u'lat': 23.7711226812, u'lng': 90.3595999308}, u'copyright': u'© 2017 Google', u'pano_id': u'KjAI5o4_zgujVLRBR7bR2Q'}",© 2017 Google,2013-06,"{u'lat': 23.7711226812, u'lng': 90.3595999308}",KjAI5o4_zgujVLRBR7bR2Q,OK,dhaka/img0_0044.jpg,dhaka/img90_0044.jpg,dhaka/img180_0044.jpg,dhaka/img270_0044.jpg
45,856,33891557,Zinzira - Ramerkanda Road,tertiary,23.701229,90.3975527,23.7012791925,90.3926945825,"{u'date': u'2015-11', u'status': u'OK', u'location': {u'lat': 23.7011787, u'lng': 90.3975067}, u'copyright': u'© Habib Reyaj', u'pano_id': u'CAoSLEFGMVFpcE14LU9INXZoSElHeDlvMzM1cS1iMzhybEtkdnNEZlEzbXhfNGpx'}",© Habib Reyaj,2015-11,"{u'lat': 23.7011787, u'lng': 90.3975067}",CAoSLEFGMVFpcE14LU9INXZoSElHeDlvMzM1cS1iMzhybEtkdnNEZlEzbXhfNGpx,OK,dhaka/img0_0045.jpg,dhaka/img90_0045.jpg,dhaka/img180_0045.jpg,dhaka/img270_0045.jpg
47,922,34298972,Patuatuli Road,tertiary,23.7087537938,90.4088173429,23.7103737,90.4064409,"{u'date': u'2013-04', u'status': u'OK', u'location': {u'lat': 23.7087176244, u'lng': 90.4087703488}, u'copyright': u'© 2017 Google', u'pano_id': u'8QsAPU8d0H8-PWgIae9VqQ'}",© 2017 Google,2013-04,"{u'lat': 23.7087176244, u'lng': 90.4087703488}",8QsAPU8d0H8-PWgIae9VqQ,OK,dhaka/img0_0047.jpg,dhaka/img90_0047.jpg,dhaka/img180_0047.jpg,dhaka/img270_0047.jpg
